Character,Line
Joey," Hey Pheebs, you wanna help?"
Phoebe," Oh, I wish I could, but I don't want to."
[Scene," The Subway, Phoebe is singing for"
Phoebe, (singing) Love is sweet as
[Scene," Ross's Apartment, the guys are there assembling"
Ross, (squatting and reading the instructions) I'm
Joey, I'm thinking we've got a
Chandler, It's a beautiful thing.
Joey, (picking up a leftover part) What's this?
Chandler, I would have to
Joey, Which goes where?
Chandler, I have no
Joey, Done with the bookcase!
Chandler, All finished!
Ross, (clutching a beer can and sniffing) This was
Joey," Hey-hey-hey-hey, if you're"
Chandler," Yes, please don't spoil"
Joey," Ross, let me ask you a question. She got the"
Ross, You guys.
Chandler," Oh, God."
Joey, You got screwed.
Chandler, Oh my God!
[Scene," A Restaurant, Monica and Paul are eating.]"
Monica, Oh my God!
Paul," I know, I know, I'm such an idiot. I guess I"
Monica," My brother's going through that right now,"
Paul," Well, you might try accidentally breaking"
Monica, -leg?
Paul," (laughing) That's one way! Me, I- I went for"
Monica," You actually broke her watch?  Wow!  The worst thing I ever did was, I-I shredded by"
Paul," Ooh, steer clear of you."
Monica, That's right.
[Scene," Monica's Apartment, Rachel is talking on the phone and pacing.]"
Rachel," Barry, I'm sorry... I am so sorry... I know"
[Scene, Ross's Apartment; Ross is pacing while Joey and
Ross, I'm divorced!  I'm only
Joey, Shut up!
Chandler, You must stop! (Chandler
Ross, That only took me an hour.
Chandler," Look, Ross, you gotta"
Ross, You know what the scariest part is? What if
Joey, What are you talking about? 'One woman'?
Ross, I honestly don't know if I'm hungry or horny.
Chandler, Stay out of my freezer! [Scene
Paul," Ever since she walked out on me, I, uh..."
Monica," What?..... What, you wanna spell it out with"
Paul," No, it's, it's more of a fifth date kinda"
Monica," Oh, so there is gonna be a fifth date?"
Paul, Isn't there?
Monica," Yeah... yeah, I think there is. -What were"
Paul," Well, ever-ev-... ever since she left me, um,"
Monica," (spitting out her drink in shock) Oh God, oh"
Paul, It's okay...
Monica, I know being spit on is probably not what
Paul, Two years.
Monica, Wow! I'm-I'm-I'm glad you smashed her watch!
Paul," So you still think you, um... might want that"
Monica," (pause)...Yeah. Yeah, I do."
[Scene," Monica's Apartment, Rachel is watching Joanne"
Priest on TV,
Rachel, Oh...see... but Joanne loved Chachi! That's
[Scene," Ross's Apartment, they're all sitting around and"
Ross, (scornful) Grab a spoon. Do you know how long
Joey," Great story!  But, I uh,"
Chandler," Angela's the screamer,"
Joey, Right.  Thanks. 
Ross," Y'know, here's the thing. Even if I could get"
[Scene," Monica's Apartment, Rachel is making coffee for"
Rachel," Isn't this amazing? I mean, I have never"
Chandler, That is amazing.
Joey, Congratulations. 
Rachel," Y'know, I figure if I can"
Chandler," If can invade Poland,"
Joey," Listen, while you're on a roll, if you feel"
Monica," (entering, to herself) Oh"
All, Morning. Good morning.
Paul, (entering from Monica's room)
Joey," Morning, Paul."
Rachel," Hello, Paul."
Chandler," Hi, Paul, is it?"
Paul, Thank you!  Thank you so
Monica, Stop!
Paul," No, I'm telling you last night"
Monica, We'll talk later.
Paul, Yeah. (They kiss) Thank you. (Exits)
Joey, That wasn't a real date?! What the hell do you
Monica," Shut up, and put my table back."
All, Okayyy! (They do so.)
Chandler," All right, kids, I gotta get to work. If I"
Rachel," So, like, you guys all have jobs?"
Monica," Yeah, we all have jobs. See, that's how we"
Joey," Yeah, I'm an actor."
Rachel, Wow! Would I have seen you in anything?
Joey, I doubt it. Mostly regional work.
Monica," Oh wait, wait, unless you happened to catch"
Joey," Look, it was a job all right?"
Chandler," 'Look, Gippetto, I'm a real live boy.'"
Joey, I will not take this abuse. (Walks to the door
Chandler," You're right, I'm sorry. (Burst into song"
Joey," You should both know,"
Monica, So how you doing today? Did you sleep okay?
Rachel, I can see that. You look like you slept with
Monica," I know, he's just so, so... Do you remember"
Rachel," Oh, yeah."
Monica," Well, it's like that. With feelings."
Rachel, Oh wow. Are you in trouble.
Monica, Big time!
Rachel, Want a wedding dress?  
Monica, I think we are getting
Rachel," Oh, look, wish me luck!"
Monica, What for?
Rachel, I'm gonna go get one of those (Thinks) job
[Scene," Iridium, Monica is working as Frannie enters.] "
Frannie," Hey, Monica! "
Monica," Hey Frannie, welcome back! How was Florida? "
Frannie," You had sex, didn't you? "
Monica, How do you do that?
Frannie," Oh, I hate you, I'm pushing my Aunt Roz through"
Monica, You know Paul? 
Frannie," Paul the Wine Guy? Oh yeah, I know Paul. "
Monica, You mean you know Paul like I know Paul? 
Frannie," Are you kidding? I take credit for Paul. Y'know before me, there was no"
[Scene," Central Perk, everyone but Rachel is there.]"
Joey, (sitting on the arm of the couch)Of course it was a line! 
Monica," Why?! Why? Why, why would anybody do something like that? "
Ross, I assume we're looking for an answer more sophisticated than 'to get you
Monica, I hate men!  I hate men!
Phoebe," Oh no, don't hate, you don't"
Monica, Is it me? Is it like I have some sort of
Phoebe," All right, c'mere, gimme your feet. (She starts massaging them.) "
Monica," I just thought he was nice, y'know? "
Joey, (bursts out laughing again) I can't believe you didn't know it was a line!
Rachel, Guess what? 
Ross, You got a job? 
Rachel, Are you kidding? I'm trained for nothing! I was laughed out of twelve
Chandler, And yet you're surprisingly upbeat. 
Rachel," You would be too if you found John and David boots on sale, fifty"
Chandler," Oh, how well you know me... "
Rachel," They're my new 'I don't need a job, I don't need my parents, I've got"
Monica, How'd you pay for them? 
Rachel," Uh, credit card. "
Monica, And who pays for that? 
Rachel, Um... my... father. 
[Scene," Monica and Rachel's, everyone is sitting around the kitchen table.  "
Rachel," Oh God, come on you"
Monica," C'mon, you can't live off your parents your whole life. "
Rachel, I know that. That's why I was getting married. 
Phoebe," Give her a break, it's hard being on your own for the first time. "
Rachel, Thank you. 
Phoebe, You're welcome. I remember when I first came to this city. I was
Ross, The word you're looking for is 'Anyway'... 
Monica," All right, you ready?"
Rachel," No.  No, no, I'm not"
Monica," You can, I know you"
Rachel, I don't think so.
Ross," Come on, you made"
Ross," C'mon, cut. Cut, cut, cut,... "
All," Cut, cut, cut, cut, cut, cut, cut... (She cuts one of them and they cheer.)"
Rachel, Y'know what?  I think
Monica,  Rachel! 
All," Cut, cut, cut, cut, cut, cut, cut.."
Chandler, (as Rachel is cutting up
Monica, Welcome to the real world! It sucks. You're
Monica," Well, that's it (To Ross) You gonna crash on the couch? "
Ross," No. No, I gotta go home sometime. "
Monica, You be okay? 
Ross, Yeah. 
Rachel," Hey Mon, look what I just found on the floor. (Monica smiles.) What? "
Monica, That's Paul's watch. You just put it back where you found it. Oh boy.
Ross and Rachel, Goodnight.
Ross," Mmm. (They both reach for the last cookie) Oh, no- "
Rachel, Sorry- 
Ross," No no no, go- "
Rachel," No, you have it, really, I don't want it- "
Ross, Split it? 
Rachel, Okay. 
Ross," Okay. (They split it.) You know you probably didn't know this, but back in"
Rachel, I knew. 
Ross, You did! Oh.... I always figured you just thought I was Monica's geeky
Rachel, I did. 
Ross," Oh. Listen, do you think- and try not to let my intense vulnerability"
Rachel," Yeah, maybe... "
Ross," Okay... okay, maybe I will... "
Rachel, Goodnight. 
Ross, Goodnight. 
Monica," See ya.... Waitwait, what's with you? "
Ross, I just grabbed a spoon. (Ross exits and Monica has no idea what that
[Scene," Central Perk, everyone is there.] "
Joey, I can't believe what I'm hearing here. 
Phoebe, (sings) I can't believe what I'm hearing here... 
Monica, What? I-I said you had a- 
Phoebe, (sings) What I said you had... 
Monica, (to Phoebe) Would you stop? 
Phoebe," Oh, was I doing it again?"
All, Yes!
Monica, I said that you had a nice
Joey," Oh, you wouldn't know a great"
Ross, There's an image.
Rachel, (walks up with a pot of coffee) Would anybody like more coffee? 
Chandler," Did you make it, or are you just serving it? "
Rachel, I'm just serving it. 
All," Yeah. Yeah, I'll have a cup of coffee. "
Chandler," Kids, new dream... I'm in Las Vegas. (Rachel"
Customer, (To
Rachel," Ugh. (To another customer that's leaving.) Excuse me, could you give"
Chandler," Okay, so, I'm in Las"
Written by, Marta Kauffman & David Crane 
Transcribed by, guineapig
Monica," What you guys don't understand is, for us,"
Joey," Yeah, right!.......Y'serious? "
Phoebe," Oh, yeah! "
Rachel, Everything you need to know is in that first kiss. 
Monica, Absolutely. 
Chandler," Yeah, I think for us, kissing is pretty much like an opening act,"
Ross," Yeah, and-and it's not that we don't like the comedian, it's that-that..."
Chandler," The problem is, though, after the concert's over, no matter how great"
Rachel," Yeah, well, word of advice"
Joey, (pause)....Are we still talking about sex?
[Scene," Museum of Prehistoric History, Ross and a co-worker"
Ross," No, it's good, it is good, it's just that- mm- doesn't she seem a little"
Marsha," Well, she has issues. "
Ross, Does she. 
Marsha," He's out banging other women over the head with a club, while she sits"
Ross," Marsha, these are cave people. Okay? They have issues like 'Gee, that"
Marsha," Speaking of issues, isn't that your ex-wife? "
Ross, (trying to ignore her) No. No. 
Marsha," Yes, it is. Carol! Hi! "
Ross," Okay, okay, yes, it is. (waves) How about I'll, uh, catch up with you in"
Ross,Hi. 
Carol, So. 
Ross," You look great. I, uh... I hate that. "
Carol, Sorry. You look good too. 
Ross," Ah, well, in here, anyone who... stands erect... So what's new? Still,"
Carol, A lesbian? 
Ross," Well... you never know. How's, um.. how's the family? "
Carol," Marty's still totally paranoid. Oh, and, uh- "
Ross," Why- why are you here, Carol? "
Carol, I'm pregnant. 
Ross, Pregnant?! 
[Scene," Monica and Rachel's, Chandler, Joey, Phoebe, and Monica are watching Three's"
Chandler," Oh, I think this is the episode of Three's"
Phoebe,...Then I've already seen this one! (Turns off the TV.) 
Monica, (taking a drink from Joey) Are you through with that? 
Joey," Yeah, sorry, the swallowing slowed me down. "
Monica, Whose little ball of paper is this?! 
Chandler," Oh, uh, that would be mine. See, I wrote a note to myself, and then I"
Phoebe," She's already fluffed that pillow... Monica, you know, you've already"
Monica," Look , I'm sorry, guys, I just don't wanna give them any more ammunition"
Chandler," Yes, and we all know how cruel a parent can be about the flatness of a"
Phoebe," Monica- Hi! Um, Monica, you're scaring me. I mean, you're like, you're"
Joey," Yeah, calm down. You don't see Ross getting all chaotic and twirly every"
Monica," That's because as far as my parents are concerned, Ross can do no wrong."
Chandler," (looking out the window) Ew, ew, ew, ew ew ew ew ew! "
Monica, What? 
Chandler, Ugly Naked Guy got a Thighmaster! 
All, Eeaagh! 
Rachel, Has anybody seen my engagement ring? 
Phoebe," Yeah, it's beautiful. "
Rachel," Oh God, oh God, oh God oh God oh God oh God.... (Starts to look under"
Phoebe," No, look, don't touch that! "
Rachel," Oh, like I wasn't dreading tomorrow enough, having to give it back to"
Monica," Easy Rach, we'll find it. (To all) Won't we! "
Chandler and Joey, Oh! Yeah!
Joey," Alright, when'd'ya have it on last?"
Phoebe, Doy! Probably right before she lost it! 
Chandler, You don't get a lot of 'doy' these days... 
Rachel," I know I had it this morning, and I know I had it when I was in the"
Chandler, ...Dinah? 
Rachel," (looks at the lasagne and realizes something) Ohhhhh, don't be mad... "
Monica, You didn't. 
Rachel," Oh, I am sorry... "
Monica, I gave you one job! (Starts to examin the lasagne through the bottom of
Rachel," Oh, but look how straight those noodles are! "
Chandler," Now, Monica, you know that's not how you look for an engagement ring"
Monica, (puts down the lasagne) I just... can't do it. 
Chandler, Boys? We're going in. 
Ross, (standing outside the door).....Hi. 
Monica, Wow. That is not a happy hi. 
Ross, Carol's pregnant. 
Phoebe, (while everyone else is stunned) Ooh! I found it! 
Monica, W-w-wh-... wha-... w-w-w-... 
Ross," Yeah. Do that for another two hours, you might be where I am right about"
Chandler," Kinda puts that whole pillow thing in perspective, huh, Mon? "
Rachel," Well now, how-how do you fit into this whole thing? "
Ross," Well, Carol says she and Susan want me to be involved, but if I'm not"
Phoebe, She is so great! I miss her. 
Monica, What does she mean by 'involved'? 
Chandler," I mean presumably, the biggest part of your job is done. "
Ross," Anyway, they want me to go down to this- sonogram thing with them"
Rachel, So what are you gonna do? 
Ross," I have no idea. No matter what I do, though, I'm still gonna be a father. "
Joey," .....Well, this is still ruined, right?"
Mrs. Geller," Oh, Martha Ludwin's daughter is gonna call you. (Tastes a snack)"
Monica, Curry. 
Mrs. Geller, Mmmm! 
Ross," I- I think they're great! I, I really do. "
Mr. Geller, (To Ross) Do you remember the Ludwins? The big one had a thing for
Mrs. Geller, They all had a thing for him. 
Ross," Aw, Mom... "
Monica," I'm sorry, why is this girl going to call me? "
Mrs. Geller," Oh, she just graduated, and she wants to be something in cooking,"
Monica," No Mom, I don't have a restaurant, I work in a restaurant. "
Mrs. Geller," Well, they don't have to know that... (She starts to fluff the same"
Monica," Ross, could you come and help me with the spaghetti, please? "
Ross, Yeah. (They go to the kitchen.) 
Mrs. Geller," Oh, we're having spaghetti! That's.... easy. "
Monica," I know this is going to sound unbelievably selfish, but, were you"
Mrs. Geller, What that Rachel did to her life.... We ran into her parents at the
Mr. Geller, I'm not gonna tell you what they spent on that wedding... but forty
Mrs. Geller," Well, at least she had the chance to leave a man at the altar... "
Monica, What's that supposed to mean? 
Mrs. Geller, Nothing! It's an expression. 
Monica, No it's not. 
Mr. Geller," Don't listen to your mother. You're independent, and you always have"
Mr. Geller," Look, there are people like Ross who"
Mr. Geller," ...And I read about these women trying to have it all, and I thank"
Monica," (trying desperately to change the subject) So, Ross, what's going on"
Ross," (pulls his hand away) Okay! Okay. (To his parents) Look, I, uh- I realise"
Mrs. Geller, (To Monica) And you knew about this?! 
[Scene," Central Park, everyone's there.] "
Joey," Your folks are really that bad, huh? "
Ross," Well, y'know, these people are pros. They know what they're doing, they"
Monica," Boy, I know they say you can't change your parents,... boy, if you"
Ross, Must pee. (Goes to pee.) 
Phoebe," Y'know, it's even worse when you're twins. "
Rachel, You're twins? 
Phoebe," Yeah. We don't speak. She's like this high-powered, driven career type. "
Chandler, What does she do? 
Phoebe, She's a waitress. 
Rachel," All right, you guys, I kinda gotta clean up now. (They all start to"
Monica," Chandler, you're an only child, right? You don't have any of this. "
Chandler," Well, no, although I did have an imaginary friend, who... my parents"
Rachel," The lights, please.."
Ross, ...How long was I in there? 
Rachel, I'm just cleaning up. 
Ross, D'ya.. uh.. d'ya need any help? 
Rachel," Uh.. okay, sure! Thanks! (She hands him the broom and sits down.) "
Ross," Anyway.. um.. (Starts to sweep.) So, you- uh- you nervous about Barry"
Rachel, Oh.. a little.. 
Ross, Mm-hmm.. 
Rachel, A lot. 
Ross, Mm. 
Rachel," So, got any advice? Y'know, as someone who's recently been- dumped? "
Ross," Well, you may wanna steer clear of the word 'dumped'. Chances are he's"
Rachel," Oh, you've got Carol tomorrow.. When did it get so complicated? "
Ross, Got me. 
Rachel, Remember when we were in high school together? 
Ross, Yeah. 
Rachel," I mean, didn't you think you were just gonna meet somone, fall in love-"
Ross," Yes, yes! "
Rachel," Oh! Man, I never thought I'd be here.. (She leans back onto his hand.) "
Ross, Me either... (He pulls up a stool so that he doesn't have to move his
[Scene," Carol's OB/GYN, Carol is waiting.] "
Ross," (entering) Sorry I'm late, I was stuck at work. There was this big"
Susan, Hi. 
Carol," Ross, you remember Susan. "
Ross, How could I forget? 
Susan, Ross. 
Ross," (they shake hands) Hello, Susan. (To Carol) Good shake. Good shake. So,"
Carol, Dr. Oberman. 
Ross, ..Dr. Oberman. Okay. And is he- 
Susan, She. 
Ross," -she, of course, she- uh- familiar with our.. special situation? "
Carol," Yes, and she's very supportive. "
Ross," Okay, that's great. (Susan gives her drink to Carol.) No, I'm- Oh.  "
Carol, Thanks. 
Ross," (picks up a surgical instrament and mimes a duck with it) Quack, quack.. "
Carol, Ross? That opens my cervix. (He drops it in horror.) 
Rachel, Barry? 
Barry, C'mon in. 
Rachel, (hesitates) Are you sure? 
Barry," Yeah! It's fine, it's fine. Robbie's gonna be here for hours. "
Robbie, Huh?! 
Barry," So, how ya doin? "
Rachel, I'm- uh- I'm okay... You look great! 
Barry," Yeah, well.. "
Bernice," (over intercom) Dr. Farber, Jason Greenstein's gagging. "
Barry, (answering the intercom) Be right there. (To Robbie and Rachel) Be back
Rachel, I dumped him. 
Robbie, Okay. 
[Scene," Carol's OB/GYN, they're talking about how this is going to work.] "
Ross," So, um- so how's this, uh, how's this gonna work? Y'know, with us? Y'know,"
Carol, Give me a 'for instance'. 
Ross," Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the"
Carol, Marlon- 
Ross, Marlon?! 
Carol," -if it's a boy, Minnie if it's a girl. "
Ross, ...As in Mouse? 
Carol, As in my grandmother. 
Ross," Still, you- you say Minnie, you hear Mouse. Um, how about, um.. how about"
Carol, Julia.. 
Susan, We agreed on Minnie. 
Ross," 'S'funny, um, uh, we agreed we'd spend the rest of our lives together."
[Scene," Barry's office, Rachel is doing her makeup in the mirror on Barry's lamp as"
Barry, Sorry about that. So. What have you been up to? 
Rachel," Oh, not much. I-I got a job. "
Barry," Oh, that's great. "
Rachel, Why are- why are you so tanned? 
Barry," Oh, I, uh- I went to Aruba. "
Rachel, Oh no. You went on our honeymoon alone? 
Barry," No. I went with, uh.. Now, this may hurt. "
Robbie, Me?! 
Barry, No! (To Rachel) I went with Mindy. 
Rachel," Mindy?! My maid of honour, Mindy?! "
Barry," Yeah, well, uh, we're kind of a thing now. "
Rachel," Oh! Well, um.. (Grabs his forehand) You've got plugs! "
Barry, Careful! They haven't quite taken yet. 
Rachel, And you've got lenses! But you hate sticking your finger in your eye! 
Barry," Not for her. Listen, I really wanted to thank you. "
Rachel, Okay.. 
Barry," See, about a month ago, I wanted to hurt you. More than I've ever wanted"
Rachel, Wow. 
Barry," You know, you were right? I mean, I thought we were happy. We weren't"
Rachel, What? 
Robbie, Me. (Spits.) 
Rachel," Anyway, um, (Gets the ring out of her purse.) I guess this belongs to"
Barry," Well, thank you for giving it back. "
Robbie, Hello?! 
[Scene," Carol's OB/GYN, they're still arguing about what to name the baby.] "
Susan," Oh, please! What's wrong with Helen? "
Ross, Helen Geller? I don't think so. 
Carol, Hello? It's not gonna be Helen Geller. 
Ross, Thank you! 
Carol," No, I mean it's not Geller. "
Ross," What, it's gonna be Helen Willick? "
Carol," No, actually, um, we talked about Helen Willick-Bunch. "
Ross," Well, wait a minute, wha- why is she in the title? "
Susan, It's my baby too. 
Ross," Oh, 's'funny, really? Um, I don't remember you making any sperm. "
Susan," Yeah, and we all know what a challenge that is! "
Carol," All right, you two, stop it! "
Ross," No no no, she gets a credit, hey, I'm in there too. "
Carol, Ross. You're not actually suggesting Helen Willick-Bunch-Geller? 'Cause I
Ross," Of course not, I'm... suggesting Geller-Willick-Bunch. "
Susan," Oh, no, nonononono, you see what he's doing? He knows no-one's gonna say"
Ross," My way?! You-you think this is my way? Believe me, of all the ways I ever"
Dr. Oberman, (entering) Knock knock!How are we today? Any nausea? 
All, Yeah. Yeah. A little. 
Dr. Oberman," Well, I was just wondering about the mother-to-be, but.. thanks for"
Ross," You- uh- y'know what, I'm gonna go. I don't- I don't think I can be"
Ross, Oh my God. 
Susan, Look at that. 
Carol, I know. 
[Scene," Monica and Rachel's apartment, everyone is watching the tape of the sonogram."
Ross, Well? Isn't that amazing? 
Joey, What are we supposed to be seeing here? 
Chandler," I dunno, but.. I think it's about to attack the Enterprise. "
Phoebe," You know, if you tilt your head to the left, and relax your eyes, it"
Ross," Then don't do that, alright? "
Phoebe, Okay! 
Ross, (walks over to where Monica is standing)Monica. Whaddya think? 
Monica, (welling up) Mm-hmm. 
Ross, Wh- are you welling up? 
Monica, No. 
Ross," You are, you're welling up. "
Monica, Am not! 
Ross, You're gonna be an aunt. 
Monica, (pushes him and starts to cry) Oh shut up! 
Rachel," (on phone) Hi, Mindy. Hi, it-it's Rachel. Yeah, I'm fine. I-I saw Barry"
Written by, Jeffrey Astrof & Mike Sikowitz. 
Transcribed by, guineapig
[Scene," Central Perk, everyone but Phoebe is there.] "
Phoebe, (entering) Hi guys! 
All," Hey, Pheebs! Hi! "
Ross," Hey. Oh, oh, how'd it go? "
Phoebe," Um, not so good. He walked me to the subway and said 'We should do this"
All, Ohh. Ouch. 
Rachel," What? He said 'we should do it again', that's good, right? "
Monica," Uh, no. Loosely translated 'We should do this again' means 'You will"
Rachel, Since when? 
Joey," Since always. It's like dating language. Y'know, like 'It's not you' means"
Chandler, Or 'You're such a nice guy' means 'I'm gonna be dating leather-wearing
Phoebe," Or, or, y'know, um, 'I think we should see other people' means 'Ha, ha,"
Rachel, And everybody knows this? 
Joey, Yeah. Cushions the blow. 
Chandler," Yeah, it's like when you're a kid, and your parents put your dog to"
Ross," That's funny, that, no, because, uh, our parents actually did, uh, send"
Monica," Uh, Ross. "
Ross," What? Wh- hello? The Millners' farm in Connecticut? The Millners, they had"
[Scene," Chandler and Joey's, Chandler is helping Joey rehearse for a part.]"
Chandler," ""So how does it feel knowing you're about to die?"" "
Joey," ""Warden, in five minutes my pain will be over. But you'll have to"
Chandler," Hey, that was really good! "
Joey, Thanks! Let's keep going. 
Chandler," Okay. ""So. Whaddya want from me, Damone, huh?"" "
Joey," ""I just wanna go back to my cell. 'Cause in my cell, I can"
Chandler," ""Smoke away."" "
Chandler, I think this is probably why Damone smokes in his cell alone. 
Joey, What? 
Chandler, Relax your hand! 
Chandler, Not so much! 
Joey, Whoah! 
Chandler, Hey! 
Joey, Hey! 
Chandler," Alright, now try taking a puff. "
Chandler, Alright.. okay. No. Give it to me. 
Joey," No no no, I am not giving you a cigarette. "
Chandler," It's fine, it's fine. Look, do you wanna get this part, or not? Here. "
Chandler, Don't think of it as a cigarette. Think of it as the thing that's been
Joey, Y'miss it? 
Chandler," Nah, not so much. Alright, now we smoke. (Takes a puff.) Oh.. my.."
Monica," No, no, no. They say it's the same as the distance from the tip of a"
Joey, That's ridiculous! 
Ross, Can I use.. either thumb? 
Rachel," (carrying a tray of drinks) Alright, don't tell me, don't tell me!"
All," Yeah. Yeah, excellent. "
Rachel, (leaving to serve others) Good for me! 
Joey," Y'okay, Phoebe? "
Phoebe," Yeah- no- I'm just- it's, I haven't worked- It's my bank. "
Monica, What did they do to you? 
Phoebe," It's nothing, it's just- Okay. I'm going through my mail, and I open up"
Ross, Easy. 
Phoebe, - and there's five hundred extra dollars in my account. 
Chandler," Oh, Satan's minions at work again... "
Phoebe," Yes, 'cause now I have to go down there, and deal with them. "
Joey, What are you talking about? Keep it! 
Phoebe," It's not mine, I didn't earn it, if I kept it, it would be like"
Rachel," Yeah, but if you spent it, it would be like shopping! "
Phoebe," Okay. Okay, let's say I bought a really great pair of shoes. Do you know"
Monica, We're with you. We got it. 
Phoebe, Okay. I'd- just- I'd never be able to enjoy it. It would be like this
Rachel," Chandler, what are you doing? "
Monica, (puling him up) Hey. Whaddya doing? 
All," Oh! Oh, God! "
Ross, What is this?! 
Chandler," I'm smoking. I'm smoking, I'm smoking. "
Phoebe," Oh, I can't believe you! You've been so good, for three years! "
Chandler, And this- is my reward! 
Ross," Hold on a second, alright? Just think about what you went through the last"
Chandler," Okay, so this time I won't quit! "
All, Ohhh! Put it out! 
Chandler," All right! I'm putting it out, I'm putting it out. (He drops it in"
Phoebe," Oh, no! I- I can't drink this now! "
Monica," Alright. I'm gonna go change, I've got a date. "
Rachel, This Alan again? How's it goin'? 
Monica," 'S'going pretty good, y'know? It's nice, and, we're having fun. "
Joey, So when do we get to meet the guy? 
Monica," Let's see, today's Monday... Never. "
All," Oh, come on! Come on! "
Monica, No. Not after what happened with Steve. 
Chandler, What are you talking about? We love Schhteve! Schhteve was schhexy!..
Monica," Look, I don't even know how I feel about him yet. Just give me a chance"
Rachel," Well, then can we meet him? "
